"","funding_round_investment_type","funding_round_year","funding_round_amount_usd_per_invsestor","funding_round_investor_count","investee_category_1","investee_category_2","investee_category_3","investee_category_groups_1","investee_category_groups_2","investee_category_groups_3","investee_employee_count","investee_org_founded_on","investee_org_name","investee_city_region_country","investee_urban_center_final","investee_country_code","investee_world_region","investee_world_sub_region","investor_name","investor_type","investor_class_1","investor_class_3","investor_class_2","investor_investment_count","investor_total_funding_usd","investor_category_list_1","investor_category_list_2","investor_category_list_3","investor_category_group_1","investor_category_group_2","investor_category_group_3","investor_employee_count","investor_city_region_country","investor_urban_center_final","investor_country_code","investor_world_region","investor_world_sub_region","investment_source","distance_km","investor_uuid","investee_org_uuid","funding_round_uuid"
"1","angel",2004,125000,4,"Augmented Reality","Social Media","Social Network","Hardware","Internet Services","Media and Entertainment","10000+",NA,"Meta","Menlo Park, California, USA","California Bay Area, USA","USA","Americas","Northern America","Peter Thiel","person","investment_partner",NA,"angel",110,NA,"Angel Investment","Finance","Financial Services","Financial Services","Lending and Investments",NA,"11-50","San Francisco, California, USA","California Bay Area, USA","USA","Americas","Northern America","outside",42.1969729667974,"3f47be49-2e32-8118-01a0-31685a4d0fd7","df662812-7f97-0b43-9d3e-12f64f504fbb","8a945939-18e0-cc9d-27b9-bf33817b2818"
"2","angel",2004,125000,4,"Augmented Reality","Social Media","Social Network","Hardware","Internet Services","Media and Entertainment","10000+",NA,"Meta","Menlo Park, California, USA","California Bay Area, USA","USA","Americas","Northern America","Reid Hoffman","person","investment_partner",NA,"angel",85,NA,"Finance","Financial Services","Venture Capital","Financial Services","Lending and Investments",NA,"101-250","San Francisco, California, USA","California Bay Area, USA","USA","Americas","Northern America","outside",42.1969729667974,"6bbee73e-72ca-be5f-9cd2-ddc54a8b237f","df662812-7f97-0b43-9d3e-12f64f504fbb","8a945939-18e0-cc9d-27b9-bf33817b2818"
"3","angel",2004,125000,4,"Augmented Reality","Social Media","Social Network","Hardware","Internet Services","Media and Entertainment","10000+",NA,"Meta","Menlo Park, California, USA","California Bay Area, USA","USA","Americas","Northern America","Mark Pincus","person","investment_partner",NA,"angel",84,NA,"Business Development","Financial Services","FinTech","Financial Services","Lending and Investments","Professional Services","1-10","Aspen, Colorado, USA","Aspen, USA","USA","Americas","Northern America","outside",1353.20210957603,"0159561f-be5d-81eb-7ccd-b4d6efeb30fc","df662812-7f97-0b43-9d3e-12f64f504fbb","8a945939-18e0-cc9d-27b9-bf33817b2818"
"4","angel",2004,125000,4,"Augmented Reality","Social Media","Social Network","Hardware","Internet Services","Media and Entertainment","10000+",NA,"Meta","Menlo Park, California, USA","California Bay Area, USA","USA","Americas","Northern America","Western Technology Investment","organization","venture_capital",NA,NA,394,NA,"Financial Services","FinTech","Venture Capital","Financial Services","Lending and Investments",NA,"11-50","Portola Valley, California, USA","California Bay Area, USA","USA","Americas","Northern America","outside",9.44582901804337,"321aaefe-527e-a56e-85cd-641bd83cd866","df662812-7f97-0b43-9d3e-12f64f504fbb","8a945939-18e0-cc9d-27b9-bf33817b2818"
"5","series_a",2005,3175000,4,"Augmented Reality","Social Media","Social Network","Hardware","Internet Services","Media and Entertainment","10000+",NA,"Meta","Menlo Park, California, USA","California Bay Area, USA","USA","Americas","Northern America","Accel","organization","venture_capital",NA,NA,1940,NA,"Finance","Financial Services","Venture Capital","Financial Services","Lending and Investments",NA,"501-1000","Palo Alto, California, USA","California Bay Area, USA","USA","Americas","Northern America","outside",1.81509696855018,"b08efc27-da40-505a-6f9d-c9e14247bf36","df662812-7f97-0b43-9d3e-12f64f504fbb","d950d7a5-79ff-fb93-ca87-13386b0e2feb"
"6","series_a",2005,3175000,4,"Augmented Reality","Social Media","Social Network","Hardware","Internet Services","Media and Entertainment","10000+",NA,"Meta","Menlo Park, California, USA","California Bay Area, USA","USA","Americas","Northern America","Reid Hoffman","person","investment_partner",NA,"angel",85,NA,"Finance","Financial Services","Venture Capital","Financial Services","Lending and Investments",NA,"101-250","San Francisco, California, USA","California Bay Area, USA","USA","Americas","Northern America","outside",42.1969729667974,"6bbee73e-72ca-be5f-9cd2-ddc54a8b237f","df662812-7f97-0b43-9d3e-12f64f504fbb","d950d7a5-79ff-fb93-ca87-13386b0e2feb"
"7","series_a",2005,3175000,4,"Augmented Reality","Social Media","Social Network","Hardware","Internet Services","Media and Entertainment","10000+",NA,"Meta","Menlo Park, California, USA","California Bay Area, USA","USA","Americas","Northern America","Mark Pincus","person","investment_partner",NA,"angel",84,NA,"Business Development","Financial Services","FinTech","Financial Services","Lending and Investments","Professional Services","1-10","Aspen, Colorado, USA","Aspen, USA","USA","Americas","Northern America","outside",1353.20210957603,"0159561f-be5d-81eb-7ccd-b4d6efeb30fc","df662812-7f97-0b43-9d3e-12f64f504fbb","d950d7a5-79ff-fb93-ca87-13386b0e2feb"
"8","series_b",2006,5500000,5,"Augmented Reality","Social Media","Social Network","Hardware","Internet Services","Media and Entertainment","10000+",NA,"Meta","Menlo Park, California, USA","California Bay Area, USA","USA","Americas","Northern America","Greylock","organization","venture_capital",NA,NA,844,NA,"Finance","Financial Services","Venture Capital","Financial Services","Lending and Investments",NA,"101-250","Menlo Park, California, USA","California Bay Area, USA","USA","Americas","Northern America","inside",0,"e2006571-6b7a-e477-002a-f7014f48a7e3","df662812-7f97-0b43-9d3e-12f64f504fbb","6fae3958-a001-27c0-fb7e-666266aedd78"
"9","series_b",2006,5500000,5,"Augmented Reality","Social Media","Social Network","Hardware","Internet Services","Media and Entertainment","10000+",NA,"Meta","Menlo Park, California, USA","California Bay Area, USA","USA","Americas","Northern America","Meritech Capital Partners","organization","venture_capital",NA,NA,319,NA,"Finance","Financial Services","Venture Capital","Financial Services","Lending and Investments",NA,"11-50","Palo Alto, California, USA","California Bay Area, USA","USA","Americas","Northern America","outside",1.81509696855018,"8d5c7e48-82da-3025-dd46-346a31bab86f","df662812-7f97-0b43-9d3e-12f64f504fbb","6fae3958-a001-27c0-fb7e-666266aedd78"
"10","series_b",2006,5500000,5,"Augmented Reality","Social Media","Social Network","Hardware","Internet Services","Media and Entertainment","10000+",NA,"Meta","Menlo Park, California, USA","California Bay Area, USA","USA","Americas","Northern America","Founders Fund","organization","venture_capital",NA,NA,853,NA,"Angel Investment","Finance","Financial Services","Financial Services","Lending and Investments",NA,"11-50","San Francisco, California, USA","California Bay Area, USA","USA","Americas","Northern America","outside",42.1969729667974,"fb2f8884-ec07-895a-48d7-d9a9d4d7175c","df662812-7f97-0b43-9d3e-12f64f504fbb","6fae3958-a001-27c0-fb7e-666266aedd78"
